message,label
"Hey, did you reach the library? I’m waiting outside.",ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://free-iphone-prize.online/winner",spam
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://lottery-winner-prize.online/claim,spam
Meeting postponed to 4 PM. Check your email for details.,ham
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
Let’s plan a trip after exams.,ham
Your account has been suspended. Restore access at http://account-verify-secure.top/login,spam
Thanks for your help with the assignment!,ham
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://quickpay-bill.info/secure,spam
You have an unclaimed reward waiting. Click here 👉 http://secure-bank-login.xyz/restore,spam
See you at the station at 5 PM sharp.,ham
See you at the station at 5 PM sharp.,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://holiday-trip-dubai.net/win",spam
Join Zoom with ID 123-456 at 8 PM.,ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://freesim-datarecharge.online/offer",spam
"Earn ₹50,000 monthly from home. Register now 👉 http://flashsale-iphone-deals.shop/buy",spam
"I’m feeling unwell today, won’t come to class.",ham
Are you free tonight for a quick call?,ham
Can you bring my charger tomorrow?,ham
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://lottery-winner-prize.online/claim,spam
Join Zoom with ID 123-456 at 8 PM.,ham
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://account-verify-secure.top/login,spam
Let’s plan a trip after exams.,ham
Your Apple ID has been locked. Verify immediately at http://lottery-winner-prize.online/claim,spam
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://holiday-trip-dubai.net/win,spam
Double your money in 7 days! Invest here 👉 http://free-iphone-prize.online/winner,spam
You have an unclaimed reward waiting. Click here 👉 http://free-iphone-prize.online/winner,spam
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://holiday-trip-dubai.net/win",spam
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://holiday-trip-dubai.net/win,spam
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
"Hey, did you reach the library? I’m waiting outside.",ham
Your order has been shipped and will arrive soon.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://account-verify-secure.top/login",spam
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
"Your mom called, please call her back.",ham
Your order has been shipped and will arrive soon.,ham
Thanks for your help with the assignment!,ham
Can you bring my charger tomorrow?,ham
Let’s plan a trip after exams.,ham
Let’s catch up tomorrow after class.,ham
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://workfromhome-fastcash.biz/apply,spam
"Earn ₹50,000 monthly from home. Register now 👉 http://flashsale-iphone-deals.shop/buy",spam
"I’m feeling unwell today, won’t come to class.",ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://appleid-support-login.net/verify",spam
"Check your email, I shared the document.",ham
Thanks for your help with the assignment!,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://free-iphone-prize.online/winner",spam
Claim your free holiday package to Dubai. Limited seats 👉 http://reward-center-claim.xyz/get,spam
Thanks for your help with the assignment!,ham
"Your mom called, please call her back.",ham
You have an unclaimed reward waiting. Click here 👉 http://secure-bank-login.xyz/restore,spam
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://kyc-update-banking.info/secure",spam
Can you bring my charger tomorrow?,ham
Can you bring my charger tomorrow?,ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://freesim-datarecharge.online/offer,spam
Your order has been shipped and will arrive soon.,ham
Your order has been shipped and will arrive soon.,ham
"Check your email, I shared the document.",ham
Final notice: Pay ₹500 electricity bill at http://account-verify-secure.top/login before disconnection.,spam
"Your mom called, please call her back.",ham
Win ₹25 lakh lottery today! Register now 👉 http://quickpay-bill.info/secure,spam
Your account has been suspended. Restore access at http://workfromhome-fastcash.biz/apply,spam
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://reward-center-claim.xyz/get",spam
Double your money in 7 days! Invest here 👉 http://secure-bank-login.xyz/restore,spam
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://kyc-update-banking.info/secure,spam
Are you free tonight for a quick call?,ham
Join Zoom with ID 123-456 at 8 PM.,ham
Don’t forget to water the plants.,ham
You have an unclaimed reward waiting. Click here 👉 http://lottery-winner-prize.online/claim,spam
"Hey, did you reach the library? I’m waiting outside.",ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://kyc-update-banking.info/secure",spam
Final notice: Pay ₹500 electricity bill at http://free-iphone-prize.online/winner before disconnection.,spam
"I’m feeling unwell today, won’t come to class.",ham
Double your money in 7 days! Invest here 👉 http://secure-bank-login.xyz/restore,spam
Your account has been suspended. Restore access at http://flashsale-iphone-deals.shop/buy,spam
Claim your free holiday package to Dubai. Limited seats 👉 http://appleid-support-login.net/verify,spam
"Check your email, I shared the document.",ham
"Your mom called, please call her back.",ham
Let’s catch up tomorrow after class.,ham
Claim your free holiday package to Dubai. Limited seats 👉 http://lottery-winner-prize.online/claim,spam
Urgent: Your bank account will be closed today. Verify now 👉 http://reward-center-claim.xyz/get,spam
Don’t forget to water the plants.,ham
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://lottery-winner-prize.online/claim,spam
Let’s plan a trip after exams.,ham
Congrats on your new job!,ham
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://reward-center-claim.xyz/get,spam
"Earn ₹50,000 monthly from home. Register now 👉 http://reward-center-claim.xyz/get",spam
Join Zoom with ID 123-456 at 8 PM.,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://account-verify-secure.top/login",spam
"Earn ₹50,000 monthly from home. Register now 👉 http://free-iphone-prize.online/winner",spam
Your Apple ID has been locked. Verify immediately at http://account-verify-secure.top/login,spam
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
I just sent you the payment via UPI.,ham
Double your money in 7 days! Invest here 👉 http://secure-bank-login.xyz/restore,spam
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://lottery-winner-prize.online/claim",spam
Can you bring my charger tomorrow?,ham
Thanks for your help with the assignment!,ham
Claim your free holiday package to Dubai. Limited seats 👉 http://secure-bank-login.xyz/restore,spam
Claim your free holiday package to Dubai. Limited seats 👉 http://flashsale-iphone-deals.shop/buy,spam
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://freesim-datarecharge.online/offer,spam
You have an unclaimed reward waiting. Click here 👉 http://quickpay-bill.info/secure,spam
"Your mom called, please call her back.",ham
"Check your email, I shared the document.",ham
Claim your free holiday package to Dubai. Limited seats 👉 http://secure-bank-login.xyz/restore,spam
Are you free tonight for a quick call?,ham
Let’s catch up tomorrow after class.,ham
Double your money in 7 days! Invest here 👉 http://kyc-update-banking.info/secure,spam
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
Your Apple ID has been locked. Verify immediately at http://workfromhome-fastcash.biz/apply,spam
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://quickpay-bill.info/secure,spam
You have an unclaimed reward waiting. Click here 👉 http://loan-offer-today.top/apply,spam
Let’s plan a trip after exams.,ham
Your account has been suspended. Restore access at http://reward-center-claim.xyz/get,spam
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
Congrats on your new job!,ham
Thanks for your help with the assignment!,ham
Can you bring my charger tomorrow?,ham
Join Zoom with ID 123-456 at 8 PM.,ham
"Your mom called, please call her back.",ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://holiday-trip-dubai.net/win,spam
"Check your email, I shared the document.",ham
Your Apple ID has been locked. Verify immediately at http://free-iphone-prize.online/winner,spam
Final notice: Pay ₹500 electricity bill at http://investment-doublers.info/join before disconnection.,spam
Win ₹25 lakh lottery today! Register now 👉 http://freesim-datarecharge.online/offer,spam
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://freesim-datarecharge.online/offer,spam
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://appleid-support-login.net/verify,spam
"Earn ₹50,000 monthly from home. Register now 👉 http://holiday-trip-dubai.net/win",spam
Urgent: Your bank account will be closed today. Verify now 👉 http://lottery-winner-prize.online/claim,spam
Meeting postponed to 4 PM. Check your email for details.,ham
Your Apple ID has been locked. Verify immediately at http://secure-bank-login.xyz/restore,spam
Happy Birthday! Hope you have a wonderful day 🎂,ham
"Check your email, I shared the document.",ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://exclusive-iphone-deals.biz/order",spam
Claim your free holiday package to Dubai. Limited seats 👉 http://kyc-update-banking.info/secure,spam
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://flashsale-iphone-deals.shop/buy,spam
Win ₹25 lakh lottery today! Register now 👉 http://free-iphone-prize.online/winner,spam
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://investment-doublers.info/join",spam
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://workfromhome-fastcash.biz/apply,spam
"Your mom called, please call her back.",ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://quickpay-bill.info/secure",spam
Win ₹25 lakh lottery today! Register now 👉 http://loan-offer-today.top/apply,spam
Final notice: Pay ₹500 electricity bill at http://investment-doublers.info/join before disconnection.,spam
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://kyc-update-banking.info/secure,spam
Let’s catch up tomorrow after class.,ham
You have an unclaimed reward waiting. Click here 👉 http://investment-doublers.info/join,spam
"I’m feeling unwell today, won’t come to class.",ham
I just sent you the payment via UPI.,ham
Join Zoom with ID 123-456 at 8 PM.,ham
Can you bring my charger tomorrow?,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://appleid-support-login.net/verify",spam
Let’s catch up tomorrow after class.,ham
Your order has been shipped and will arrive soon.,ham
Can you bring my charger tomorrow?,ham
Happy Birthday! Hope you have a wonderful day 🎂,ham
Your order has been shipped and will arrive soon.,ham
Don’t forget to water the plants.,ham
I just sent you the payment via UPI.,ham
"Your mom called, please call her back.",ham
Let’s plan a trip after exams.,ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://investment-doublers.info/join,spam
See you at the station at 5 PM sharp.,ham
"I’m feeling unwell today, won’t come to class.",ham
Your account has been suspended. Restore access at http://workfromhome-fastcash.biz/apply,spam
Claim your free holiday package to Dubai. Limited seats 👉 http://secure-bank-login.xyz/restore,spam
Let’s plan a trip after exams.,ham
Your account has been suspended. Restore access at http://account-verify-secure.top/login,spam
Double your money in 7 days! Invest here 👉 http://freesim-datarecharge.online/offer,spam
Let’s catch up tomorrow after class.,ham
"Check your email, I shared the document.",ham
Your account has been suspended. Restore access at http://reward-center-claim.xyz/get,spam
Your account has been suspended. Restore access at http://quickpay-bill.info/secure,spam
Are you free tonight for a quick call?,ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://exclusive-iphone-deals.biz/order",spam
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
Double your money in 7 days! Invest here 👉 http://quickpay-bill.info/secure,spam
Can you bring my charger tomorrow?,ham
Thanks for your help with the assignment!,ham
Claim your free holiday package to Dubai. Limited seats 👉 http://flashsale-iphone-deals.shop/buy,spam
Let’s catch up tomorrow after class.,ham
Urgent: Your bank account will be closed today. Verify now 👉 http://freesim-datarecharge.online/offer,spam
Don’t forget to water the plants.,ham
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://reward-center-claim.xyz/get,spam
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://exclusive-iphone-deals.biz/order,spam
Join Zoom with ID 123-456 at 8 PM.,ham
See you at the station at 5 PM sharp.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://kyc-update-banking.info/secure",spam
"Check your email, I shared the document.",ham
Happy Birthday! Hope you have a wonderful day 🎂,ham
Are you free tonight for a quick call?,ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://holiday-trip-dubai.net/win",spam
You have an unclaimed reward waiting. Click here 👉 http://secure-bank-login.xyz/restore,spam
Urgent: Your bank account will be closed today. Verify now 👉 http://kyc-update-banking.info/secure,spam
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://lottery-winner-prize.online/claim,spam
Let’s catch up tomorrow after class.,ham
Double your money in 7 days! Invest here 👉 http://loan-offer-today.top/apply,spam
Final notice: Pay ₹500 electricity bill at http://free-iphone-prize.online/winner before disconnection.,spam
Win ₹25 lakh lottery today! Register now 👉 http://quickpay-bill.info/secure,spam
"Check your email, I shared the document.",ham
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://free-iphone-prize.online/winner,spam
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://flashsale-iphone-deals.shop/buy,spam
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://loan-offer-today.top/apply,spam
"Check your email, I shared the document.",ham
Your order has been shipped and will arrive soon.,ham
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
Your Apple ID has been locked. Verify immediately at http://freesim-datarecharge.online/offer,spam
Thanks for your help with the assignment!,ham
Final notice: Pay ₹500 electricity bill at http://flashsale-iphone-deals.shop/buy before disconnection.,spam
Final notice: Pay ₹500 electricity bill at http://exclusive-iphone-deals.biz/order before disconnection.,spam
Don’t forget to water the plants.,ham
I just sent you the payment via UPI.,ham
Are you free tonight for a quick call?,ham
Double your money in 7 days! Invest here 👉 http://workfromhome-fastcash.biz/apply,spam
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://loan-offer-today.top/apply",spam
"Your mom called, please call her back.",ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://free-iphone-prize.online/winner",spam
Urgent: Your bank account will be closed today. Verify now 👉 http://reward-center-claim.xyz/get,spam
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://appleid-support-login.net/verify,spam
Join Zoom with ID 123-456 at 8 PM.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://kyc-update-banking.info/secure",spam
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://reward-center-claim.xyz/get,spam
Call me when you reach home safely.,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://exclusive-iphone-deals.biz/order",spam
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://reward-center-claim.xyz/get,spam
Thanks for your help with the assignment!,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://kyc-update-banking.info/secure",spam
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://flashsale-iphone-deals.shop/buy",spam
Happy Birthday! Hope you have a wonderful day 🎂,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://appleid-support-login.net/verify",spam
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://kyc-update-banking.info/secure",spam
"Earn ₹50,000 monthly from home. Register now 👉 http://exclusive-iphone-deals.biz/order",spam
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://exclusive-iphone-deals.biz/order",spam
Meeting postponed to 4 PM. Check your email for details.,ham
Let’s catch up tomorrow after class.,ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://holiday-trip-dubai.net/win",spam
Good luck for your exam tomorrow 🤞,ham
Good luck for your exam tomorrow 🤞,ham
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://loan-offer-today.top/apply,spam
Double your money in 7 days! Invest here 👉 http://reward-center-claim.xyz/get,spam
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://secure-bank-login.xyz/restore,spam
Congrats on your new job!,ham
Call me when you reach home safely.,ham
Can you bring my charger tomorrow?,ham
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://freesim-datarecharge.online/offer,spam
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
Let’s catch up tomorrow after class.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://free-iphone-prize.online/winner",spam
"Earn ₹50,000 monthly from home. Register now 👉 http://appleid-support-login.net/verify",spam
Call me when you reach home safely.,ham
Final notice: Pay ₹500 electricity bill at http://secure-bank-login.xyz/restore before disconnection.,spam
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://reward-center-claim.xyz/get,spam
I just sent you the payment via UPI.,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://exclusive-iphone-deals.biz/order",spam
Final notice: Pay ₹500 electricity bill at http://freesim-datarecharge.online/offer before disconnection.,spam
Thanks for your help with the assignment!,ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://freesim-datarecharge.online/offer,spam
Exclusive deal: iPhone 15 at 70% discount. Hurry 👉 http://kyc-update-banking.info/secure,spam
"Earn ₹50,000 monthly from home. Register now 👉 http://investment-doublers.info/join",spam
Double your money in 7 days! Invest here 👉 http://lottery-winner-prize.online/claim,spam
Final notice: Pay ₹500 electricity bill at http://secure-bank-login.xyz/restore before disconnection.,spam
I just sent you the payment via UPI.,ham
Are you free tonight for a quick call?,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://freesim-datarecharge.online/offer",spam
Urgent: Your bank account will be closed today. Verify now 👉 http://loan-offer-today.top/apply,spam
Congrats on your new job!,ham
Are you free tonight for a quick call?,ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://kyc-update-banking.info/secure",spam
Meeting postponed to 4 PM. Check your email for details.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://account-verify-secure.top/login",spam
You have an unclaimed reward waiting. Click here 👉 http://lottery-winner-prize.online/claim,spam
Happy Birthday! Hope you have a wonderful day 🎂,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://freesim-datarecharge.online/offer",spam
Good luck for your exam tomorrow 🤞,ham
FLASH SALE! iPhone 14 Pro Max at 90% off. Buy now 👉 http://free-iphone-prize.online/winner,spam
Good luck for your exam tomorrow 🤞,ham
Happy Birthday! Hope you have a wonderful day 🎂,ham
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://workfromhome-fastcash.biz/apply",spam
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
Are you free tonight for a quick call?,ham
Don’t forget to water the plants.,ham
Claim your free holiday package to Dubai. Limited seats 👉 http://appleid-support-login.net/verify,spam
Good luck for your exam tomorrow 🤞,ham
Thanks for your help with the assignment!,ham
Join Zoom with ID 123-456 at 8 PM.,ham
Let’s catch up tomorrow after class.,ham
Don’t forget to water the plants.,ham
Double your money in 7 days! Invest here 👉 http://kyc-update-banking.info/secure,spam
Your Apple ID has been locked. Verify immediately at http://lottery-winner-prize.online/claim,spam
I just sent you the payment via UPI.,ham
"Earn ₹50,000 monthly from home. Register now 👉 http://free-iphone-prize.online/winner",spam
Let’s catch up tomorrow after class.,ham
Your order has been shipped and will arrive soon.,ham
Thanks for your help with the assignment!,ham
"Check your email, I shared the document.",ham
See you at the station at 5 PM sharp.,ham
Meeting postponed to 4 PM. Check your email for details.,ham
Congrats on your new job!,ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://investment-doublers.info/join,spam
Call me when you reach home safely.,ham
Good luck for your exam tomorrow 🤞,ham
Claim your free holiday package to Dubai. Limited seats 👉 http://free-iphone-prize.online/winner,spam
Final notice: Pay ₹500 electricity bill at http://reward-center-claim.xyz/get before disconnection.,spam
Call me when you reach home safely.,ham
Pizza Hut delivery: Your order will arrive in 20 minutes.,ham
Happy Birthday! Hope you have a wonderful day 🎂,ham
Your order has been shipped and will arrive soon.,ham
"Dear customer, your ATM card will be blocked. Update KYC here 👉 http://quickpay-bill.info/secure",spam
"Your mom called, please call her back.",ham
Double your money in 7 days! Invest here 👉 http://loan-offer-today.top/apply,spam
Let’s plan a trip after exams.,ham
Join Zoom with ID 123-456 at 8 PM.,ham
You have an unclaimed reward waiting. Click here 👉 http://loan-offer-today.top/apply,spam
Don’t forget to water the plants.,ham
Your Apple ID has been locked. Verify immediately at http://workfromhome-fastcash.biz/apply,spam
Congratulations! You’ve won an iPhone 15 Pro. Claim now at http://freesim-datarecharge.online/offer,spam
Don’t forget to water the plants.,ham
"Your mom called, please call her back.",ham
Recharge your SIM now and win free data worth 50GB! Claim 👉 http://kyc-update-banking.info/secure,spam
Thanks for your help with the assignment!,ham
Can you bring my charger tomorrow?,ham
Win ₹25 lakh lottery today! Register now 👉 http://kyc-update-banking.info/secure,spam
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://flashsale-iphone-deals.shop/buy",spam
Final notice: Pay ₹500 electricity bill at http://kyc-update-banking.info/secure before disconnection.,spam
"Check your email, I shared the document.",ham
Double your money in 7 days! Invest here 👉 http://investment-doublers.info/join,spam
Your account has been suspended. Restore access at http://lottery-winner-prize.online/claim,spam
"Get a loan up to ₹5,00,000 instantly. Apply here 👉 http://flashsale-iphone-deals.shop/buy",spam
Don’t forget to water the plants.,ham
"Your mom called, please call her back.",ham
"Earn ₹50,000 monthly from home. Register now 👉 http://quickpay-bill.info/secure",spam
Double your money in 7 days! Invest here 👉 http://appleid-support-login.net/verify,spam
Claim your free holiday package to Dubai. Limited seats 👉 http://appleid-support-login.net/verify,spam
"Your mom called, please call her back.",ham
Can you bring my charger tomorrow?,ham
Can you bring my charger tomorrow?,ham
Let’s catch up tomorrow after class.,ham
I just sent you the payment via UPI.,ham
Let’s catch up tomorrow after class.,ham
